Campaign,Type,Ware,Number
SLP-2004,CER,CC,4
SLP-2004,CER,CC,3
SLP-2004,CER,CC,6
SLP-2004,CER,CC,3
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,2
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,7
SLP-2004,CER,CC,1
SLP-2004,CER,CC,2
SLP-2004,CER,CC,3
SLP-2004,CER,CC,10
SLP-2004,CER,CC,2
SLP-2004,CER,CC,1
SLP-2004,CER,CC,3
SLP-2004,CER,CC,2
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,4
SLP-2004,CER,CC,1
SLP-2004,CER,CC,12
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,2
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,2
SLP-2004,CER,CC,3
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,3
SLP-2004,CER,CC,1
SLP-2004,CER,CC,1
SLP-2004,CER,CC,3
SLP-2004,CER,CC,12
SLP-2004,CER,CC,2
SLP-2004,CER,CC,5
SLP-2004,CER,CC,7
SLP-2004,CER,CC,2
SLP-2004,CER,CC,2
SLP-2004,CER,CC,1
SLP-2004,CER,CC,2
SLP-2004,CER,CD,2
SLP-2004,CER,CD,1
SLP-2004,CER,CKW,1
SLP-2004,CER,CKW,1
SLP-2004,CER,CKW,1
SLP-2004,CER,CKW,2
SLP-2004,CER,CKW,3
SLP-2004,CER,CP,1
SLP-2004,CER,CP,1
SLP-2004,CER,CP,1
SLP-2004,CER,CP,7
SLP-2004,CER,CP,4
SLP-2004,CER,CP,4
SLP-2004,CER,CP,2
SLP-2004,CER,CP,1
SLP-2004,CER,CP,1
SLP-2004,CER,CP,2
SLP-2004,CER,CP,3
SLP-2004,CER,CP,1
SLP-2004,CER,CP,1
SLP-2004,CER,CP,2
SLP-2004,CER,CP,1
SLP-2004,CER,CP,1
SLP-2004,CER,CP,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,12
SLP-2004,CER,CW,3
SLP-2004,CER,CW,8
SLP-2004,CER,CW,3
SLP-2004,CER,CW,2
SLP-2004,CER,CW,8
SLP-2004,CER,CW,17
SLP-2004,CER,CW,5
SLP-2004,CER,CW,2
SLP-2004,CER,CW,3
SLP-2004,CER,CW,5
SLP-2004,CER,CW,3
SLP-2004,CER,CW,30
SLP-2004,CER,CW,13
SLP-2004,CER,CW,10
SLP-2004,CER,CW,6
SLP-2004,CER,CW,4
SLP-2004,CER,CW,13
SLP-2004,CER,CW,4
SLP-2004,CER,CW,6
SLP-2004,CER,CW,1
SLP-2004,CER,CW,5
SLP-2004,CER,CW,5
SLP-2004,CER,CW,9
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,12
SLP-2004,CER,CW,3
SLP-2004,CER,CW,5
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,8
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,9
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,4
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,8
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,5
SLP-2004,CER,CW,8
SLP-2004,CER,CW,3
SLP-2004,CER,CW,3
SLP-2004,CER,CW,10
SLP-2004,CER,CW,4
SLP-2004,CER,CW,3
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,10
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,7
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,4
SLP-2004,CER,CW,4
SLP-2004,CER,CW,3
SLP-2004,CER,CW,5
SLP-2004,CER,CW,37
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,6
SLP-2004,CER,CW,4
SLP-2004,CER,CW,3
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,5
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,6
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,1
SLP-2004,CER,CW,2
SLP-2004,CER,CW,2
SLP-2004,CER,CW,8
SLP-2004,CER,CW,2
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,3
SLP-2004,CER,CW,2
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,4
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
SLP-2004,CER,CW,6
SLP-2004,CER,CW,3
SLP-2004,CER,CW,16
SLP-2004,CER,CW,1
SLP-2004,CER,CW,1
