Period,low,high,Number
SR,1500,1800,1
SR,1500,1800,2
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,2
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,4
SR,1500,1800,1
SR,1500,1800,4
SR,1500,1800,9
SR,1500,1800,9
SR,1500,1800,6
SR,1500,1800,20
SR,1500,1800,8
SR,1500,1800,3
SR,1500,1800,1
SR,1500,1800,2
SR,1500,1800,4
SR,1500,1800,2
SR,1500,1800,7
SR,1500,1800,1
SR,1500,1800,2
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,2
SR,1500,1800,4
SR,1500,1800,6
SR,1500,1800,6
SR,1500,1800,2
SR,1500,1800,1
SR,1500,1800,7
SR,1500,1800,1
SR,1500,1800,2
SR,1500,1800,6
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,2
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,2
SR,1500,1800,3
SR,1500,1800,5
SR,1500,1800,1
SR,1500,1800,5
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,3
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,3
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,3
SR,1500,1800,2
SR,1500,1800,2
SR,1500,1800,1
SR,1500,1800,2
SR,1500,1800,1
SR,1500,1800,2
SR,1500,1800,2
SR,1500,1800,6
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,7
SR,1500,1800,2
SR,1500,1800,4
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,6
SR,1500,1800,1
SR,1500,1800,2
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,4
SR,1500,1800,2
SR,1500,1800,2
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,3
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,1
SR,1500,1800,8
